2026-05-14 10:19:18 | INFO | master | Epoch 1 | batch 2900/3402 | train_loss=1.007948 | train_loss_pointwise=1.007948 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:19:22 | INFO | master | Epoch 1 | batch 3000/3402 | train_loss=0.989955 | train_loss_pointwise=0.989955 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:19:27 | INFO | master | Epoch 1 | batch 3100/3402 | train_loss=1.025144 | train_loss_pointwise=1.025144 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:19:32 | INFO | master | Epoch 1 | batch 3200/3402 | train_loss=1.019454 | train_loss_pointwise=1.019454 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:19:36 | INFO | master | Epoch 1 | batch 3300/3402 | train_loss=1.026730 | train_loss_pointwise=1.026730 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:19:40 | INFO | master | Epoch 1 | batch 3400/3402 | train_loss=1.035451 | train_loss_pointwise=1.035451 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:19:40 | INFO | master | Epoch 1 | batch 3402/3402 | train_loss=1.055928 | train_loss_pointwise=1.055928 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:19:52 | INFO | master | Epoch 1 | train_loss=1.060310 | valid_loss=1.002857 | valid_loss_pointwise=1.002857 | valid_loss_ranknet=0.000000 | valid_loss_lambda=0.000000 | monitor=rank_ic=0.051355 | early_stop_bad_epochs=0/10 | R2=-0.005251 | IC=0.054753 | ICIR=0.349675 | RIC=0.051355 | RICIR=0.336888 | samples=143608.000000 | total_trading_days=479.000000 | NDCG@30=0.379514 | NDCGIR@30=3.812708 | PORTFOLIO_NDCG_HARD@30=0.386717 | PORTFOLIO_NDCG_HARDIR@30=4.262289 | PORTFOLIO_NDCG_SOFT@30=0.390183 | PORTFOLIO_NDCG_SOFTIR@30=4.369348 | TOPK_OVERLAP@5=0.017119 | TOPK_OVERLAPIR@5=0.277751 | TOPK_OVERLAP@10=0.034238 | TOPK_OVERLAPIR@10=0.540998 | TOPK_OVERLAP@20=0.062839 | TOPK_OVERLAPIR@20=0.926485 | TOPK_OVERLAP@30=0.095198 | TOPK_OVERLAPIR@30=1.326886 | TOPK_OVERLAP@40=0.127923 | TOPK_OVERLAPIR@40=1.733101 | TOPK_OVERLAP@50=0.165386 | TOPK_OVERLAPIR@50=2.180315
2026-05-14 10:19:52 | INFO | master | Monitor rank_ic improved at epoch 1. Best epoch=1, best_monitor_value=0.051355 | best_valid_loss=1.002857 | best_train_loss=1.060310
2026-05-14 10:19:58 | INFO | master | Epoch 2 | batch 100/3402 | train_loss=0.941947 | train_loss_pointwise=0.941947 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:02 | INFO | master | Epoch 2 | batch 200/3402 | train_loss=0.986928 | train_loss_pointwise=0.986928 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:07 | INFO | master | Epoch 2 | batch 300/3402 | train_loss=1.013132 | train_loss_pointwise=1.013132 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:11 | INFO | master | Epoch 2 | batch 400/3402 | train_loss=0.971447 | train_loss_pointwise=0.971447 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:15 | INFO | master | Epoch 2 | batch 500/3402 | train_loss=0.995255 | train_loss_pointwise=0.995255 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:20 | INFO | master | Epoch 2 | batch 600/3402 | train_loss=1.015112 | train_loss_pointwise=1.015112 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
